Name,%GC,Exonic Rate,Sequences flagged as poor quality,rRNA rate,Fragment Length Mean,Intronic Rate,Intergenic Rate,Mapping Rate,Quality format,Duplication Rate of Mapped,Mapped,rRNA,Sequence length,Transcripts Detected,5'-3' bias,Mean Per Base Cov.,Genes Detected,sampletype,cell
Old_49,47,0.3700000047683716,0,0.0,51.0,0.5188000202178955,0.1111999973654747,0.18743298947811127,standard,0.24569199979305267,688653,0.0,25-75,0,1.5,0,0,Old,49
Old_40,42,0.37540000677108765,0,1.0375670171924867E-5,71.0,0.49959999322891235,0.125,0.5604326725006104,standard,0.2814309895038605,1890494,35.0,25-75,0,1.25,0,0,Old,40
Old_41,42,0.44029998779296875,0,0.0,55.0,0.41110000014305115,0.1485999971628189,0.4165709316730499,standard,0.3351860046386719,1410987,0.0,25-75,0,1.2000000476837158,0,0,Old,41
Old_42,43,0.4016999900341034,0,0.0,53.0,0.46959999203681946,0.12870000302791595,0.5247711539268494,standard,0.18554100394248962,1097298,0.0,25-75,0,1.1299999952316284,0,0,Old,42
Old_43,46,0.4341999888420105,0,0.0,51.0,0.43880000710487366,0.12700000405311584,0.20343205332756042,standard,0.09368699789047241,298149,0.0,25-75,0,1.0700000524520874,0,0,Old,43
Young_49,50,0.5052000284194946,0,0.0,68.0,0.38269999623298645,0.1120000034570694,0.13624806702136993,standard,0.04903800040483475,137071,0.0,25-75,0,1.399999976158142,0,0,Young,49
Old_46,46,0.35440000891685486,0,0.0,52.0,0.5289999842643738,0.11659999936819077,0.2188803255558014,standard,0.2684049904346466,1259808,0.0,25-75,0,1.2300000190734863,0,0,Old,46
Old_47,46,0.2741999924182892,0,0.0,72.0,0.4050000011920929,0.3208000063896179,0.09560368955135345,standard,0.23158399760723114,169567,0.0,25-75,0,NaN,0,0,Old,47
Young_48,50,0.567799985408783,0,0.0,0.0,0.35569998621940613,0.07649999856948853,0.0746656134724617,standard,0.03428800031542778,65196,0.0,25-75,0,1.2000000476837158,0,0,Young,48
Young_89,51,0.12950000166893005,0,0.0,67.0,0.5090000033378601,0.36149999499320984,0.023233456537127495,standard,0.2344910055398941,85020,0.0,25-75,0,NaN,0,0,Young,89
Young_88,46,0.33959999680519104,0,0.0,77.0,0.13410000503063202,0.5264000296592712,0.3267245590686798,standard,0.5176399946212769,1626724,0.0,25-75,0,7.5,0,0,Young,88
Young_87,51,0.059700001031160355,0,0.0,0.0,0.3059999942779541,0.6342999935150146,1.0206316073890775E-4,standard,0.10300400108098984,268,0.0,25-75,0,NaN,0,0,Young,87
Young_86,47,0.3878999948501587,0,1.1822888836832135E-6,49.0,0.155799999833107,0.4564000070095062,0.35615819692611694,standard,0.42993998527526855,1807468,6.0,25-75,0,NaN,0,0,Young,86
Young_85,46,0.219200000166893,0,1.716375805926873E-7,100.0,0.22179999947547913,0.5590000152587891,0.42665618658065796,standard,0.35219401121139526,2485797,1.0,25-75,0,124.58999633789062,0,0,Young,85
Young_84,48,0.4401000142097473,0,0.0,83.0,0.07429999858140945,0.4855000078678131,0.22139780223369598,standard,0.5081920027732849,1278259,0.0,25-75,0,3.2200000286102295,0,0,Young,84
Young_83,49,0.49799999594688416,0,0.0,115.0,0.0414000004529953,0.46059998869895935,0.11675232648849487,standard,0.41705700755119324,333912,0.0,25-75,0,NaN,0,0,Young,83
Young_82,45,0.41609999537467957,0,0.0,93.0,0.08389999717473984,0.5,0.41990530490875244,standard,0.46779900789260864,1842332,0.0,25-75,0,2.8399999141693115,0,0,Young,82
Young_81,47,0.41100001335144043,0,0.0,98.0,0.042100001126527786,0.546999990940094,0.2702281177043915,standard,0.5405610203742981,1120639,0.0,25-75,0,0.9900000095367432,0,0,Young,81
Young_80,46,0.35030001401901245,0,4.1154694940814807E-7,86.0,0.11079999804496765,0.5389000177383423,0.4072018265724182,standard,0.42667898535728455,1978884,2.0,25-75,0,1.090000033378601,0,0,Young,80
